PERMNO,SecInfoStartDt,SecInfoEndDt,SecurityBegDt,SecurityEndDt,SecurityHdrFlg,HdrCUSIP,HdrCUSIP9,CUSIP,CUSIP9,PrimaryExch,ConditionalType,ExchangeTier,TradingStatusFlg,SecurityNm,ShareClass,USIncFlg,IssuerType,SecurityType,SecuritySubType,ShareType,SecurityActiveFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,ICBIndustry,NASDCompno,NASDIssuno,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyPrcFlg,DlyCap,DlyCapFlg,DlyPrevPrc,DlyPrevPrcFlg,DlyPrevDt,DlyPrevCap,DlyPrevCapFlg,DlyRet,DlyRetx,DlyRetI,DlyRetMissFlg,DlyRetDurFlg,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyDistRetFlg,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol,ShrStartDt,ShrEndDt,ShrOut,ShrSource,ShrFacType,ShrAdrFlg,DisExDt,DisSeqNbr,DisOrdinaryFlg,DisType,DisFreqType,DisPaymentType,DisDetailType,DisTaxType,DisOrigCurType,DisDivAmt,DisFacPr,DisFacShr,DisDeclareDt,DisRecordDt,DisPayDt,DisPERMNO,DisPERMCO,vwretd,vwretx,ewretd,ewretx,sprtrn
10145,20221013,20221230,19251231,20221230,Y,43851610,438516106,43851610,438516106,Q,RW,S,A,HONEYWELL INTERNATIONAL INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,HON,HON,22168,3724,336412,INDL,60018933,25476,HONEYWELL INTERNATIONAL INC,20221229,20221229,N,214.7500,TR,"144,381,149.50",BP,212.1900,TR,20221228,"142,660,005.18",PB,0.012065,0.012065,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,1865633.00,214.7500,212.7700,215.2499,214.6800,214.7400,213.0900,"38,931",48,"400,644,686.8",20221013,20221230,"672,322",NC,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
11308,20080627,20221230,19251231,20221230,Y,19121610,191216100,19121610,191216100,N,RW,N/A,A,COCA COLA CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,KO,KO,20468,2086,312111,CONSTAP,0,0,COCA COLA CO,20221229,20221229,N,63.9500,TR,"276,552,606.35",BP,63.5700,TR,20221228,"274,909,291.41",PB,0.005978,0.005978,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,7169256.00,63.9500,63.7000,64.1500,63.9400,63.9500,63.8000,,,"458,473,921.2",20221130,20221229,"4,324,513",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
12490,20211203,20221230,19251231,20221230,Y,45920010,459200101,45920010,459200101,N,RW,N/A,A,INTERNATIONAL BUSINESS MACHS COR; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,IBM,IBM,20990,3571,334111,TECH,0,0,INTERNATIONAL BUSINESS MACHS COR,20221229,20221229,N,141.0600,TR,"127,536,013.56",BP,140.0200,TR,20221228,"126,595,722.52",PB,0.007428,0.007428,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2337207.00,141.0600,140.4500,142.2600,141.0200,141.0300,140.5800,,,"329,686,419.4",20221130,20221229,"904,126",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
14008,20190912,20221230,19830617,20221230,Y,03116210,031162100,03116210,031162100,Q,RW,S,A,AMGEN INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AMGN,AMGN,216,2830,325414,HEALTH,60000215,298,AMGEN INC,20221229,20221229,N,263.1600,TR,"140,416,649.64",BP,261.4200,TR,20221228,"139,488,222.18",PB,0.006656,0.006656,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,1429551.00,263.1600,262.1400,264.8800,263.0700,263.1000,262.4700,"34,949",60,"376,200,641.2",20221031,20221230,"533,579",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
14541,20210401,20221230,19251231,20221230,Y,16676410,166764100,16676410,166764100,N,RW,N/A,A,CHEVRON CORP NEW; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,CVX,CVX,20440,5541,447190,ENERGY,0,0,CHEVRON CORP NEW,20221229,20221229,N,178.3200,TR,"344,806,506.48",BP,176.9800,TR,20221228,"342,215,430.22",PB,0.007571,0.007571,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,4142090.00,178.3200,176.6500,179.2000,178.3200,178.3300,176.6500,,,"738,617,488.8",20221130,20221229,"1,933,639",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
14593,20171228,20221230,19801212,20221230,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7,3571,334220,TECH,60000006,8,APPLE INC,20221229,20221229,N,129.6100,TR,"2,061,851,173.98",BP,126.0400,TR,20221228,"2,005,059,192.72",PB,0.028324,0.028324,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,75528589.00,129.6100,127.7300,130.4814,129.5700,129.6000,127.9900,"602,460",60,"9,789,260,420.3",20221014,20221230,"15,908,118",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
18163,20210414,20221230,19290812,20221230,Y,74271810,742718109,74271810,742718109,N,RW,N/A,A,PROCTER & GAMBLE CO; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,PG,PG,21446,2844,325620,CONSTAP,0,0,PROCTER & GAMBLE CO,20221229,20221229,N,152.5900,TR,"361,592,065.23",BP,151.9600,TR,20221228,"360,099,156.12",PB,0.004146,0.004146,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,3809088.00,152.5900,152.1400,153.2400,152.5900,152.6000,152.8100,,,"581,228,737.9",20221130,20221229,"2,369,697",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
18428,20191223,20221230,20190402,20221230,Y,26055710,260557103,26055710,260557103,N,RW,N/A,A,DOW INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,DOW,DOW,56668,2821,325211,BASMAT,0,0,DOW INC,20221229,20221229,N,50.6500,TR,"35,645,393.35",BP,49.9900,TR,20221228,"35,180,912.41",PB,0.013203,0.013203,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,2743492.00,50.6500,50.0000,50.8022,50.6400,50.6500,50.0700,,,"138,957,869.8",20221130,20221229,"703,759",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
18542,20170126,20221230,19291202,20221230,Y,14912310,149123101,14912310,149123101,N,RW,N/A,A,CATERPILLAR INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,CAT,CAT,20408,3531,333120,INDL,0,0,CATERPILLAR INC,20221229,20221229,N,240.2000,TR,"125,002,241.80",BP,239.3800,TR,20221228,"124,575,506.42",PB,0.003426,0.003426,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,1652542.00,240.2000,238.2700,241.6100,240.1900,240.2000,241.2100,,,"396,940,588.4",20221130,20221229,"520,409",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
19502,20141231,20221230,19340215,20221230,Y,93142710,931427108,93142710,931427108,Q,RW,S,A,WALGREENS BOOTS ALLIANCE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,WBA,WBA,21881,5912,446110,CONSTAP,60020528,27423,WALGREENS BOOTS ALLIANCE INC,20221229,20221229,N,37.4700,TR,"32,404,543.11",BP,37.5800,TR,20221228,"32,499,672.54",PB,-0.002927,-0.002927,0.000000,NA,D1,0.0000,0.0000,1.000000,NO,5218435.00,37.4700,37.3600,37.9700,37.4400,37.4500,37.6600,"49,098",55,"195,534,759.5",20220930,20221230,"864,813",OBS,NA,N,,,,,,,,,,,,,,,,,,0.018337,0.018135,0.022834,0.022336,0.017461
